"기준_년_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","집객시설_수","관공서_수","은행_수","종합병원_수","일반_병원_수","약국_수","유치원_수","초등학교_수","중학교_수","고등학교_수","대학교_수","백화점_수","슈퍼마켓_수","극장_수","숙박_시설_수","공항_수","철도_역_수","버스_터미널_수","지하철_역_수","버스_정거장_수"
"2019","2","A","골목상권","1000590","방화대로6라길","45","2","2","","","1","1","1","1","","","","7","","","4","","","","19"
"2019","2","A","골목상권","1000588","등촌로5길","102","3","4","1","","18","2","","1","1","","","1","","8","","","","","11"
"2019","2","A","골목상권","1000353","노해로63다길","107","3","3","","","11","3","2","","","","","1","","6","","","","1","15"
"2019","2","A","골목상권","1000577","공항대로59길","104","2","5","","1","10","2","2","1","","","","2","","3","","","","1","19"
"2019","2","A","골목상권","1000576","공항대로55길","79","2","2","","","7","2","1","1","","","","","1","3","","","","1","21"
"2019","2","A","골목상권","1000560","강서로45다길","106","1","2","","2","12","2","","1","2","","","","","4","","","","","13"
"2019","2","A","골목상권","1000495","와우산로29길","157","3","3","","","5","1","1","","","","","1","5","70","","","","2","22"
"2019","2","A","골목상권","1000574","공항대로38길","102","","5","","2","8","1","1","1","","","","1","","4","","","","1","24"
"2019","2","A","골목상권","1000554","강서로15길","212","3","3","","1","22","2","","","","","","","","10","","","","2","20"
"2019","2","A","골목상권","1000552","가로공원로76가길","105","1","2","","1","18","3","1","1","","","","","","1","","","","","11"
"2019","2","A","골목상권","1000269","동소문로15길","170","1","5","","1","14","2","2","","","","","2","","16","","","","1","24"
"2019","2","A","골목상권","1000548","중앙로55길","74","3","1","","1","6","2","3","1","","","","","","5","","","","","4"
"2019","2","A","골목상권","1000511","곰달래로5길","107","7","3","","1","16","1","1","1","1","","","","","2","","","","","17"
"2019","2","A","골목상권","1000658","금하로24길","91","1","1","","","15","3","2","1","2","","","1","","2","","","","","21"
"2019","2","A","골목상권","1000233","동일로139가길","121","3","3","","","13","2","2","1","","","","","","6","","","","1","26"
"2019","2","A","골목상권","1000603","화곡로13길","68","2","1","","","5","4","1","2","","","","1","","2","","","","","12"
"2019","2","A","골목상권","1000650","오류로8길","126","1","4","","2","18","2","","","","1","","1","","3","","","","1","17"
"2019","2","A","골목상권","1000463","독막로22길","93","3","2","","","3","","1","","","12","","1","","8","","","","1","26"
"2019","2","A","골목상권","1000624","고척로52길","82","1","3","","1","6","1","1","2","","","","2","1","2","","","","","28"
"2019","2","A","골목상권","1000471","마포대로12길","110","10","7","","","11","1","1","","","","","","","6","","","","","22"
"2019","2","A","골목상권","1000447","증가로10길","106","5","4","","","8","1","4","1","","9","","1","","12","","","","","21"
"2019","2","A","골목상권","1000437","명지대길","82","3","4","","","4","5","3","2","2","10","","1","","9","","","","","12"
"2019","2","A","골목상권","1000427","증산로9길","55","3","","","","5","2","1","2","","","","","","2","","","","1","4"
"2019","2","A","골목상권","1000929","압구정로2길","136","3","1","","","8","1","1","1","1","","","","8","17","","","","","13"
"2019","2","A","골목상권","1000346","한천로109길","120","4","1","","","9","2","1","1","","","","1","2","","","","","","53"
"2019","2","A","골목상권","1000376","우이천로4다길","91","4","1","","","14","3","2","","","","","","","","","","","","29"
"2019","2","A","골목상권","1000337","솔매로50길","139","7","4","","2","18","2","1","1","1","3","","4","","10","","","","1","21"
"2019","2","A","골목상권","1000332","삼양로54길","102","5","3","","1","12","1","1","1","1","","","1","","3","","","","","18"
"2019","2","A","골목상권","1000358","도당로29길","91","1","4","","2","10","","1","1","","","","1","","3","","","","1","28"
"2019","2","A","골목상권","1000988","양재대로124길","93","2","4","","1","14","3","1","1","","","","","","6","","","","1","20"
"2019","2","A","골목상권","1000686","경인로90길","82","5","6","","","7","2","1","","","","","","3","2","","","","1","17"
"2019","2","A","골목상권","1000981","상암로5길","137","2","5","","1","14","2","2","","","","","1","","9","","","","1","17"
"2019","2","A","골목상권","1000743","동작대로7길","148","4","8","","1","15","1","1","","","","","1","1","9","","","","2","18"
"2019","2","A","골목상권","1000891","개포로28길","71","3","1","","1","7","1","2","","1","","","","","3","","","","","21"
"2019","2","A","골목상권","1000773","여의대방로24길","164","4","2","1","2","15","1","1","2","1","","","","1","17","","","","2","29"
"2019","2","A","골목상권","1000772","여의대방로22카길","144","3","3","","1","14","","","","","","","1","1","14","","","","1","24"
"2019","2","A","골목상권","1000944","백제고분로22길","96","2","3","","1","15","","1","","","","","1","","13","","","","","11"
"2019","2","A","골목상권","1000954","삼전로13길","266","3","11","","1","34","1","2","","1","","","4","","32","","","","","19"
"2019","2","A","골목상권","1000952","백제고분로46길","110","4","6","","4","12","2","1","","","","","2","2","9","","","","","15"
"2019","2","A","골목상권","1000924","선릉로121길","160","4","9","","","16","1","1","","","","","2","1","13","","","","3","8"
"2019","2","A","골목상권","1000923","삼성로75길","142","3","16","","1","10","","","","","","","1","","41","","","","","16"
"2019","2","A","골목상권","1000851","논현로1길","74","1","3","","","6","2","1","1","1","","","1","1","5","","","","","21"
"2019","2","A","골목상권","1000947","백제고분로33길","97","2","2","","1","8","3","","","","","","1","4","16","","","","","11"
"2019","2","A","골목상권","1001006","천호대로197길","96","5","1","","","11","4","2","1","","","","","","","","","","","24"
"2019","2","A","골목상권","1000854","동광로1길","91","1","3","","","8","1","","","1","","","2","","7","","","","","24"
"2019","2","A","골목상권","1000843","소담길","60","3","1","","","8","3","1","1","2","","","","","2","","","","","10"
"2019","2","A","골목상권","1000941","동남로20길","122","3","5","","","12","2","2","1","1","","","2","1","1","","","","2","22"
"2019","2","A","골목상권","1000385","석계로1길","133","2","1","","2","14","1","1","","","1","","","","5","","","","2","42"
"2019","2","A","골목상권","1000699","도림로112길","92","1","2","","","13","3","2","","","","","1","","1","","","","","26"
"2019","2","A","골목상권","1000730","영등포로80길","102","1","2","1","2","8","1","1","","1","","","1","","21","","","","","22"
"2019","2","A","골목상권","1000705","도신로60길","86","2","2","","1","7","3","1","","1","","","1","","11","","","","","20"
"2019","2","A","골목상권","1000812","봉천로33길","161","4","3","","3","23","4","2","","1","","","3","","7","","","","1","30"
"2019","2","A","골목상권","1000824","양녕로6길","202","3","6","","3","25","1","1","","","","","3","","9","","","","1","31"
"2019","2","A","골목상권","1000667","문성로5길","92","6","1","","2","11","1","2","2","1","","","","1","1","","","","","21"
"2019","2","A","골목상권","1000752","사당로26길","90","5","5","","1","8","2","2","","","","","1","1","10","","","","","14"
"2019","2","A","골목상권","1000750","사당로23길","50","1","","","","2","","1","1","","","","2","","1","","","","","15"
"2019","2","A","골목상권","1000683","가마산로61길","94","2","3","","","13","2","2","1","1","","","2","","","","","","","29"
"2019","2","A","골목상권","1000767","성대로29길","152","4","4","","2","17","4","2","","","","","3","","22","","","","","24"
"2019","2","A","골목상권","1000764","서달로15길","98","2","3","1","1","15","1","2","","","","","2","","6","","","","1","16"
"2019","2","A","골목상권","1000763","서달로14길","101","2","4","1","1","15","1","2","","","","","2","","2","","","","1","17"
"2019","2","A","골목상권","1000733","국사봉1길","193","2","5","","1","23","1","","","","","","3","","19","","","","1","21"
"2019","2","A","골목상권","1000796","남부순환로151길","117","4","3","","1","15","1","","","","","","","","9","","","","","19"
"2019","2","A","골목상권","1000794","난향길","49","2","","","","5","1","1","","","","","1","","","","","","","9"
"2019","2","A","골목상권","1000707","디지털로37길","108","2","2","","2","14","3","2","1","","","","","","7","","","","2","19"
"2019","2","A","골목상권","1000674","시흥대로150길","112","5","4","","2","16","1","2","1","1","","","","1","2","","","","","27"
"2019","2","A","골목상권","1000805","대학14길","67","2","","","","1","1","1","","2","","","","","46","","","","","7"
"2019","2","A","골목상권","1000663","독산로64길","90","4","1","1","","8","","2","1","","","","","1","2","","","","","18"
"2019","2","A","골목상권","1000672","시흥대로138길","123","6","7","","2","17","","1","1","","","","","","5","","","","","27"
"2019","2","A","골목상권","1000671","시흥대로120길","144","10","6","1","2","19","","1","","","","","","","7","","","","","20"
"2019","2","A","골목상권","1000782","관악로28길","93","2","3","1","1","13","2","1","1","","","","2","","1","","","","","12"
"2019","2","A","골목상권","1000237","동일로157길","150","3","3","","1","15","3","2","","","","","","","1","","","","1","25"
"2019","2","A","골목상권","1000221","휘경로3길","134","4","1","","","20","2","","","","9","","","","20","","","","1","17"
"2019","2","A","골목상권","1000195","장한로14길","58","7","2","","","3","","1","1","","","","","","","","","","","9"
"2019","2","A","골목상권","1000208","천장산로7길","97","3","2","1","1","3","1","1","2","2","51","","","4","6","","","","","12"
"2019","2","A","골목상권","1000212","천호대로77길","100","6","4","","4","12","2","1","","","","","","2","10","","","","1","12"
"2019","2","A","골목상권","1000200","장한로27길","123","1","3","","5","17","2","2","","","","","","","6","","","","","23"
"2019","2","A","골목상권","1000193","왕산로43길","129","7","2","1","2","11","1","","1","1","","","","","9","","","","1","32"
"2019","2","A","골목상권","1000538","오목로3길","61","2","","","","4","1","2","","","","","","","","","","","","11"
"2019","2","A","골목상권","1000510","곰달래로3길","100","6","1","","","17","4","2","1","","","","","1","2","","","","","15"
"2019","2","A","골목상권","1000310","화랑로14길","81","3","2","","","9","1","1","","","","","","","7","","","","1","11"
"2019","2","A","골목상권","1000507","가로공원로58길","56","2","1","","","7","","","2","1","","","","","1","","","","","3"
"2019","2","A","골목상권","1000297","정릉로26길","102","4","4","","","11","1","2","","","","","","1","","","","","","30"
"2019","2","A","골목상권","1000308","한천로76길","95","2","1","","1","12","1","1","1","1","","","","","1","","","","2","24"
"2019","2","A","골목상권","1000304","종암로5길","103","3","2","","","3","2","1","2","1","30","","","1","14","","","","1","21"
"2019","2","A","골목상권","1000268","동소문로13길","195","3","9","","1","16","5","2","2","1","","","1","","14","","","","1","36"
"2019","2","A","골목상권","1000280","삼선교로16가길","90","4","1","","","2","3","2","1","2","20","","","","3","","","","","22"
"2019","2","A","골목상권","1000319","덕릉로41길","206","6","6","1","2","17","1","1","1","","","","1","","9","","","","1","28"
"2019","2","A","골목상권","1000283","솔샘로6길","104","3","4","","","9","","","1","1","4","","","","5","","","","","31"
"2019","2","A","골목상권","1000253","사가정로42길","78","3","1","","","4","1","","","","","","2","","5","","","","","14"
"2019","2","A","골목상권","1000263","돌곶이로22길","102","2","4","","1","16","2","1","","","","","","","1","","","","1","16"
"2019","2","A","골목상권","1000243","면목로45길","159","6","2","","2","22","1","","","","","","3","","7","","","","1","19"
"2019","2","A","골목상권","1000087","후암로28길","101","5","1","","","11","1","2","1","1","","","","1","3","","","","","24"
"2019","2","A","골목상권","1000130","광나루로37길","97","3","3","","1","7","3","1","1","1","","","1","4","7","","","","","20"
"2019","2","A","골목상권","1000043","청구로1길","74","2","2","","","6","1","3","1","1","","","","","2","","","","1","14"
"2019","2","A","골목상권","1000139","능동로34길","142","1","5","","2","10","2","2","","1","","","1","6","6","","","","2","24"
"2019","2","A","골목상권","1000122","용답중앙길","106","3","4","","2","14","1","1","","","","","1","1","2","","","","3","14"
"2019","2","A","골목상권","1000169","경희대로4길","180","3","6","1","1","14","3","2","2","2","44","","1","3","34","","","","","17"
"2019","2","A","골목상권","1000161","자양로45길","148","1","2","","","21","2","1","","1","","","1","1","4","","","","1","28"
"2019","2","A","골목상권","1000113","아차산로11길","69","5","9","","1","4","","1","","","","","","1","4","","","","1","8"
"2019","2","A","골목상권","1000126","한림말길","94","9","3","","","7","4","1","1","","","","2","","3","","","","2","21"
"2019","2","A","골목상권","1000027","필운대로1길","142","6","1","","","5","2","1","1","1","7","","","9","35","","","","","24"
"2019","2","A","골목상권","1000191","왕산로32길","114","2","7","","2","16","","","1","","","","1","","3","","","","3","30"
"2019","2","A","골목상권","1000190","약령시로17길","91","5","2","","1","9","1","1","1","1","","","","1","3","","","","","20"
"2019","2","A","골목상권","1000032","다산로38길","131","6","5","","1","15","1","1","","","","","1","2","13","","","","2","7"
"2019","2","A","골목상권","1000031","다산로36길","77","2","2","","","8","1","1","1","1","","","1","","5","","","","","13"
"2019","2","A","골목상권","1000066","원효로41길","100","7","7","","","8","2","","1","1","","","1","5","3","","","","1","23"
"2019","2","A","골목상권","1000051","녹사평대로26길","158","7","7","","","5","","1","","","7","","","8","22","","","","1","33"
"2019","2","A","골목상권","1000072","장문로45길","86","3","2","","","10","1","","1","1","7","","","","7","","","","","19"
"2019","2","A","골목상권","1000063","우사단로14길","151","12","2","","","7","","1","","","7","","","5","25","","","","1","26"
"2019","2","A","골목상권","1000101","무학봉길","83","4","1","","","9","2","2","","","","","1","","8","","","","","9"
"2019","2","A","골목상권","1000150","면목로17길","96","4","1","","","10","4","1","1","","","","","","3","","","","","22"
"2019","2","A","골목상권","1000136","긴고랑로9길","137","5","2","","1","19","1","2","","","","","1","","7","","","","1","26"
"2019","2","A","골목상권","1000015","이화장길","180","10","8","12","1","8","1","1","1","","23","","","18","14","","","","2","29"
"2019","2","A","골목상권","1000014","율곡로16길","139","10","9","12","1","4","2","2","1","","21","","","3","4","","","","","27"
"2019","2","A","골목상권","1000013","율곡로10길","157","2","5","","","5","1","2","","","","","","13","33","","","","2","21"
"2019","2","A","골목상권","1000107","성덕정길","63","5","","","","5","2","1","1","1","","","","","","","","","","22"
"2019","2","A","골목상권","1000021","창경궁로35길","119","4","4","","","7","3","1","1","1","7","","3","4","27","","","","","16"
"2019","2","A","골목상권","1000712","선유서로25길","55","2","1","","1","6","1","","","1","","","","1","2","","","","1","11"
"2019","2","A","골목상권","1000649","신도림로13길","44","2","","","","","2","2","","1","","","1","","","","","","1","15"
"2019","2","A","골목상권","1000567","개화동로23길","144","6","7","","2","13","1","2","1","1","","","1","1","4","8","","","2","43"
"2019","2","A","골목상권","1000616","개봉로3길","80","3","2","","","8","1","2","1","","","","","","","","","","","23"
"2019","2","A","골목상권","1000504","월드컵로8길","150","3","8","","","9","2","1","","","","","","2","32","","","","","40"
"2019","2","A","골목상권","1000531","신목로2길","90","1","2","","","10","1","1","","","","","","","5","","","","","15"
"2019","2","A","골목상권","1000594","양천로26길","72","3","1","","","4","1","1","1","2","","","1","","","","","","1","25"
"2019","2","A","골목상권","1000592","양천로24가길","103","3","3","","1","11","2","1","","2","","","","","3","","","","","23"
"2019","2","A","골목상권","1000492","양화로1길","106","4","4","","","10","1","1","","","","","","1","11","","","","1","21"
"2019","2","A","골목상권","1000501","월드컵로25길","90","2","1","","","6","1","2","","","","","","2","1","","","","","36"
"2019","2","A","골목상권","1000581","국회대로7길","74","2","1","","1","10","1","","","","","","1","","6","","","","","15"
"2019","2","A","골목상권","1000352","노해로60길","130","2","5","","1","18","1","","2","1","","","1","","5","","","","1","27"
"2019","2","A","골목상권","1000528","목동중앙북로8길","113","4","4","","1","12","5","","1","1","","","2","","5","","","","","11"
"2019","2","A","골목상권","1000500","월드컵로19길","125","2","5","","","17","","","","","","","","","4","","","","1","21"
"2019","2","A","골목상권","1000499","월드컵로16길","122","2","4","","","11","1","2","1","1","","","","","9","","","","1","26"
"2019","2","A","골목상권","1000558","강서로35길","131","3","4","","3","15","2","1","","","","","2","","7","","","","1","15"
"2019","2","A","골목상권","1000526","목동중앙본로7길","70","1","1","","","8","2","2","1","2","","","","","","","","","","11"
"2019","2","A","골목상권","1000555","강서로17가길","100","2","2","","1","10","","","1","","","","","","7","","","","2","9"
"2019","2","A","골목상권","1000270","동소문로26가길","195","2","5","2","2","19","2","2","3","2","9","","1","","20","","","","1","28"
"2019","2","A","골목상권","1000252","봉화산로56길","133","4","2","","1","12","2","3","","1","","","1","","","","","","","21"
"2019","2","A","골목상권","1000654","가산로3길","99","4","8","","","2","1","","1","","","","","","4","","","","","52"
"2019","2","A","골목상권","1000596","양천로71길","96","1","2","","","9","1","3","2","","","","2","","","","","","","23"
"2019","2","A","골목상권","1000355","도당로13가길","59","2","","","","8","","","1","","","","","1","1","","","","","18"
"2019","2","A","골목상권","1000481","성미산로11길","97","2","2","","","5","3","1","2","3","","","1","","13","","","","","31"
"2019","2","A","골목상권","1000460","대흥로28길","128","2","2","","","12","3","2","1","1","1","","","1","14","","","","1","26"
"2019","2","A","골목상권","1000478","모래내로7길","98","3","3","","2","11","2","1","1","","","","","","1","","","","1","23"
"2019","2","A","골목상권","1000477","매봉산로2길","107","8","6","","","8","1","1","","","","","","5","","","","","5","25"
"2019","2","A","골목상권","1000469","동교로27길","182","4","4","","","5","3","","1","2","","","1","1","77","","","","","26"
"2019","2","A","골목상권","1000473","마포대로4길","103","3","8","","","6","1","1","","","","","","","4","","","","1","23"
"2019","2","A","골목상권","1000452","충정로6길","189","16","10","","","10","1","2","2","3","","","","5","17","","","","2","46"
"2019","2","A","골목상권","1000451","충정로4길","130","11","5","","1","6","1","1","","","","","","1","15","","","","1","37"
"2019","2","A","골목상권","1000436","독립문로8길","148","3","2","","","7","1","2","2","1","11","","","2","11","","","","","51"
"2019","2","A","골목상권","1000433","통일로87길","114","4","1","","1","12","","","","","","","","","9","","","","","34"
"2019","2","A","골목상권","1000439","북아현로4길","146","5","6","","1","9","","2","3","2","8","","","","13","","","","2","36"
"2019","2","A","골목상권","1000432","통일로78길","136","5","4","","","14","3","2","","2","","","3","","4","","","","1","27"
"2019","2","A","골목상권","1000428","증산서길","54","3","","","","4","2","2","1","","","","","1","","","","","3","9"
"2019","2","A","골목상권","1000867","사평대로26길","73","5","6","","","5","","1","","","","","1","1","2","","","","","14"
"2019","2","A","골목상권","1000348","한천로130길","104","5","3","1","3","9","1","1","1","","","","","","3","","","","","22"
"2019","2","A","골목상권","1000344","인수봉로72길","83","4","1","","1","10","2","1","1","","","","","","1","","","","","25"
"2019","2","A","골목상권","1000395","서오릉로21길","69","5","2","","","6","3","1","2","2","","","1","","1","","","","","12"
"2019","2","A","골목상권","1000418","응암로13길","119","3","2","1","1","18","1","","","","","","","","1","","","","1","17"
"2019","2","A","골목상권","1000415","은평로3길","109","5","2","1","1","10","2","2","","1","1","","1","","1","","","","1","18"
"2019","2","A","골목상권","1000370","방학로15길","77","3","1","","","3","3","3","1","2","","","","","","","","","","28"
"2019","2","A","골목상권","1000543","중앙로32길","68","3","4","","","4","2","2","","2","","","","","5","","","","","16"
"2019","2","A","골목상권","1000333","삼양로77길","91","5","","","","7","1","1","1","1","","","","","","","","","","31"
"2019","2","A","골목상권","1000542","중앙로25길","79","5","","","","8","2","3","1","","","","1","","3","","","","1","22"
"2019","2","A","골목상권","1000359","도봉로109길","130","7","4","1","2","18","","","1","","","","","","4","","","","1","30"
"2019","2","A","골목상권","1000980","상암로51길","153","5","6","","2","20","1","2","1","2","","","1","","9","","","","2","17"
"2019","2","A","골목상권","1000964","오금로36길","65","5","2","","1","4","1","1","1","","","","1","","2","","","","2","15"
"2019","2","A","골목상권","1000979","상암로4길","134","3","5","","2","16","2","1","1","","","","1","","9","","","","1","8"
"2019","2","A","골목상권","1000978","상암로14길","127","2","5","","2","16","4","2","1","","","","1","","9","","","","1","10"
"2019","2","A","골목상권","1000881","효령로31길","135","5","6","","1","12","","1","","","","","1","","15","","","","2","23"
"2019","2","A","골목상권","1000740","동작대로29길","108","2","1","","","10","1","1","","","","","2","","5","","","","","11"
"2019","2","A","골목상권","1000858","방배천로4안길","118","7","9","","1","9","","1","","","","","1","1","7","","","","1","17"
"2019","2","A","골목상권","1000690","당산로38길","88","3","4","","1","7","1","1","1","","","","","","3","","","","1","16"
"2019","2","A","골목상권","1000930","언주로81길","252","8","27","","2","20","","","","","","","1","3","34","","","","1","23"
"2019","2","A","골목상권","1000917","삼성로115길","87","5","4","","1","9","","1","1","","","","1","2","8","","","","1","10"
"2019","2","A","골목상권","1000837","행운길","131","6","4","","1","9","3","4","1","1","","","1","1","20","","","","1","23"
"2019","2","A","골목상권","1000836","행운1길","205","3","4","1","2","23","3","2","1","","","","1","1","22","","","","1","20"
"2019","2","A","골목상권","1000915","봉은사로57길","66","5","4","","","6","","1","1","","","","1","1","7","","","","1","4"
"2019","2","A","골목상권","1000853","동광로12길","222","1","10","","","24","2","1","1","1","","","2","","7","","","","2","30"
"2019","2","A","골목상권","1000942","마천로51길","111","5","","","","16","2","2","","","","","","1","2","","","","1","14"
"2019","2","A","골목상권","1001004","천호대로170길","142","2","3","","2","21","1","1","2","","","","","","9","","","","1","24"
"2019","2","A","골목상권","1000998","올림픽로98길","128","4","5","","1","15","3","","","","","","3","","7","","","","1","13"
"2019","2","A","골목상권","1000996","올림픽로78길","111","3","4","","3","15","1","","","","","","1","","5","","","","","11"
"2019","2","A","골목상권","1000902","논현로63길","114","","7","","2","7","2","1","","","","","2","","35","","","","","14"
"2019","2","A","골목상권","1000910","도산대로81길","176","2","9","","","6","1","1","1","1","","1","","14","9","","","","1","8"
"2019","2","A","골목상권","1000907","도산대로30길","110","4","8","","2","6","","","1","","","","","2","5","","","","","12"
"2019","2","A","골목상권","1000935","테헤란로81길","164","5","19","","","9","","","","","","1","2","8","12","","","","","23"
"2019","2","A","골목상권","1000971","구천면로36길","88","4","","","","13","2","2","","","","","","","7","","","","","8"
